ID,Structure,Name<br>(<i>CAS RN</i>)
52,"<img src=""molecules/52.png"" height =""200""></img>","Difluoromethyl 1H,1H-perfluoropropyl<br>(<i>56860-81-2</i>)"
53,"<img src=""molecules/53.png"" height =""200""></img>",Heptafluoropropyl trifluorovinyl ether<br>(<i>1623-05-8</i>)
54,"<img src=""molecules/54.png"" height =""200""></img>","Perfluoro-3,6-dioxaheptanoic acid<br>(<i>151772-58-6</i>)"
55,"<img src=""molecules/55.png"" height =""200""></img>",Methyl perfluoroethyl ketone<br>(<i>374-41-4</i>)
56,"<img src=""molecules/56.png"" height =""200""></img>",3-(Perfluoroisopropyl)-2-propenoic acid<br>(<i>243139-64-2</i>)
57,"<img src=""molecules/57.png"" height =""200""></img>",Potassium perfluorobutanesulfonate<br>(<i>29420-49-3</i>)
58,"<img src=""molecules/58.png"" height =""200""></img>",Octafluoroadipamide<br>(<i>355-66-8</i>)
59,"<img src=""molecules/59.png"" height =""200""></img>","1H,1H,2H-Perfluoro-1-hexene<br>(<i>19430-93-4</i>)"
60,"<img src=""molecules/60.png"" height =""200""></img>",Perfluorooctanesulfonamide<br>(<i>754-91-6</i>)
61,"<img src=""molecules/61.png"" height =""200""></img>",3H-Perfluoro-4-hydroxy-3-penten-2-one<br>(<i>1694-30-0</i>)
62,"<img src=""molecules/62.png"" height =""200""></img>",1-Pentafluoroethylethanol<br>(<i>374-40-3</i>)
63,"<img src=""molecules/63.png"" height =""200""></img>",Perfluoroglutaryl difluoride<br>(<i>678-78-4</i>)
64,"<img src=""molecules/64.png"" height =""200""></img>",8:2 Fluorotelomer alcohol<br>(<i>678-39-7</i>)
65,"<img src=""molecules/65.png"" height =""200""></img>",Ethyl perfluorobutyl ether<br>(<i>163702-05-4</i>)
66,"<img src=""molecules/66.png"" height =""200""></img>","3H-Perfluoro-2,2,4,4-tetrahydroxypentane<br>(<i>77953-71-0</i>)"
67,"<img src=""molecules/67.png"" height =""200""></img>",Dodecafluoroheptanol<br>(<i>335-99-9</i>)
68,"<img src=""molecules/68.png"" height =""200""></img>","1H,1H-Perfluoropentylamine<br>(<i>355-27-1</i>)"
69,"<img src=""molecules/69.png"" height =""200""></img>",6H-Perfluorohex-1-ene<br>(<i>1767-94-8</i>)
70,"<img src=""molecules/70.png"" height =""200""></img>",6:2 Fluorotelomer alcohol<br>(<i>647-42-7</i>)
71,"<img src=""molecules/71.png"" height =""200""></img>",2-Amino-2H-perfluoropropane<br>(<i>1619-92-7</i>)
72,"<img src=""molecules/72.png"" height =""200""></img>",5H-Perfluoropentanal<br>(<i>2648-47-7</i>)
73,"<img src=""molecules/73.png"" height =""200""></img>",Perfluorobutanesulfonic acid<br>(<i>375-73-5</i>)
74,"<img src=""molecules/74.png"" height =""200""></img>",Perfluorooctanoic acid<br>(<i>335-67-1</i>)
